Froot Loops (Kellogg's),1,120,1,0.5,26,1,13,1,YES,YES,
All-Bran (Kellogg's),1,160,2,0,46,20,12,8,NO,YES,
Apple Jacks (Kellogg's),1,120,0.5,0,28,1,15,1,NO,YES,
Corn Flakes (Kellogg's),1,100,0,0,24,1,2,2,NO,YES,
Corn Pops (Kellogg's),1,120,0,0,28,1,14,1,YES,NO,
Crispix (Kellogg's),1,110,0,0,25,1,3,2,NO,NO,
Raisin Bran Crunch (Kellogg's),1,190,1,0,45,4,20,3,NO,YES,
Eggo Cereal Maple Syrup (Kellogg's),1,120,1.5,0.5,22,2,13,2,YES,YES,
Frosted Flakes (Kellogg's),1,146.7,0,0,36,1.5,15,1.5,NO,YES,
Honey Smacks (Kellogg's),1,133.33,0.7,0,32,1.33,20,2.7,YES,NO,
Smorz (Kellogg's),1,120,2,0.5,25,1,13,1,YES,YES,
Mini-Swirlz Cinnamon Bun (Kellogg's),1,120,2,0,25,1,12,2,YES,NO,
Product 19 (Kellogg's),1,100,0,0,25,1,4,2,NO,YES,
Rice Krispies (Kellogg's),1,96,0,0,23.2,0,2.4,1.6,NO,YES,
Rice Krispies Treats Cereal (Kellogg's),1,160,2,0,34.7,0,12,1.33,YES,YES,
Smart Start Healthy Heart (Kellogg's),1,184,2.4,0.4,36.8,4,13.6,5.6,NO,YES,
Special K (Kellogg's),1,120,0.5,0,22,1,4,7,NO,YES,
Special K Red Berries (Kellogg's),1,110,0,0,25,1,10,3,NO,YES,
Frosted Krispies (Kellogg's),1,146.7,0,0,36,0,16,1.33,NO,YES,
Wheaties (General Mills),1,133.33,0.7,0,29.33,4,5.33,4,NO,NO,
Trix (General Mills),1,120,1.5,0,28,1,13,1,NO,YES,
Lucky Charms (General Mills),1,146.7,1.33,0,29.33,1.33,14.7,2.7,NO,NO,
Fiber One (General Mills),1,120,2,0,50,28,0,4,NO,NO,
Cheerios (General Mills),1,100,2,0,20,3,1,3,NO,NO,
Yogurt Burst Cheerios Vanilla (General Mills),1,160,2,0.7,32,2.7,12,2.7,NO,NO,
Rice Chex (General Mills),1,100,0.5,0,23,0,2,2,NO,NO,
Wheat Chex (General Mills),1,213.33,1.33,0,50.7,6.7,6.7,6.7,NO,NO,
Corn Chex (General Mills),1,120,0.5,0,26,1,3,2,NO,NO,
Honey Nut Cheerios (General Mills),1,146.7,2,0,29.33,2.7,12,4,NO,NO,
Multi Grain Cheerios (General Mills),1,110,1,0,23,3,6,2,NO,NO,
Total (General Mills),1,133.33,0.7,0,30.7,4,6.7,2.7,NO,NO,
Reese's Puffs (General Mills),1,160,4,0.7,29.33,1.33,16,2.7,NO,NO,
Oatmeal Crisp Crunchy Almond (General Mills),1,220,5,0.5,46,4,16,6,NO,YES,
Kix (General Mills),1,88,0.8,0,20,2.4,2.4,1.6,NO,NO,
Golden Grahams (General Mills),1,160,1.33,0,34.7,1.33,14.7,2.7,NO,NO,
Franken Berry (General Mills),1,130,1,0,29,1,14,1,NO,NO,
Count Chocula (General Mills),1,146.7,1.33,0,30.7,1.33,16,1.33,NO,NO,
Cookie Crisp (General Mills),1,133.33,1.33,0,29.33,1.33,14.7,1.33,NO,NO,
Cocoa Puffs (General Mills),1,146.7,2,0,30.6,1.33,16,1.33,NO,NO,
Cinnamon Toast Crunch (General Mills),1,173.33,4,2,33.33,1.33,13.33,1.33,NO,NO,
Basic 4 (General Mills),1,200,3,0.5,43,3,13,4,YES,NO,
Life (Quaker),1,160,2,0,33.33,2.7,8,4,NO,NO,
GOLEAN Cereal (Kashi),1,140,1,0,30,10,6,13,NO,NO